338115	22.9
459843	24.5
408822	23.2
377918	24.6
2813125	32.4
251625	24.2
1094341	27
338485	23.6
1386285	30.1
389028	27.5
509902	26.1
322913	22.1
2713477	32.7
480143	27.7
538371	22
285139	26.3
365394	26.2
1217715	27.1
258558	24.7
1058005	25.2
1018031	25.5
342792	21.8
398787	25
1043492	24.8
3587499	28.8
386283	22.2
1507985	27.6
346177	20.9
1980849	27.5
317916	26.5
362178	23
251616	21.1
380245	22.1
542448	22.1
365706	22.9
412437	23.6
327202	25.4
643153	25.3
3165110	30.2
995220	25.1
265199	25.3
702461	27.9
1073348	23.6
400618	24.1
253994	24.5
257194	23.4
239001	22.7
1002920	24.7
279525	24.9
352277	23.3
6534086	32
641695	25.2
388286	23.5
297714	20.8
616476	25.2
2879728	29.7
817990	23.6
1919130	25.8
968587	28.5
388881	22.9
610399	27.3
312492	25.7
248415	19.2
653773	22.9
476423	20.7
1213874	29.3
374613	23.9
2862712	29.6
2104781	26.4
1145218	27.1
273656	24.2
1215921	27.6
717627	23.4
253053	19.1
651332	26.1
640788	25.6
1620284	27.4
520446	21.8
1012873	26.2
680498	24.8
1101898	26.4
1645897	26.8
2410269	35.3
1087658	33
236464	23.6
253081	22
1989476	31.6
255636	22.7
287678	22
1386219	26.3
264518	25.1
312879	21.3
1351854	26.9
307689	21.7
430233	24.3
457298	22.2
506544	29
872526	24.2
3402169	36.3
309187	19.7
277565	22.2
403207	25
